"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 145건","","","","667,894","","",""
"1","아디프산","사이타마현","2019-02-22","100","불검출","불검출","적합"
"2","발효식초","도치기현","2019-05-08","500","불검출","불검출","적합"
"3","된장","히로시마현","2019-05-30","100","불검출","불검출","적합"
"4","혼합장","교토부","2019-05-27","120","불검출","불검출","적합"
"5","향신료조제품","아이치현","2019-05-14","200","불검출","불검출","적합"
"6","양조간장","기후현","2019-05-24","54","불검출","불검출","적합"
"7","기타 농산가공품","가나가와현","2019-05-24","72","불검출","불검출","적합"
"8","된장","니가타현","2019-05-23","100","불검출","불검출","적합"
"9","건면","효고현","2019-02-13","160","불검출","불검출","적합"
"10","소스","아이치현","2019-05-27","216","불검출","불검출","적합"
"11","된장","아이치현","2019-05-08","40","불검출","불검출","적합"
"12","소스","히로시마현","2019-05-10","108","불검출","불검출","적합"
"13","건면","훗카이도","2019-05-30","1,926","불검출","불검출","적합"
"14","건면","훗카이도","2019-03-10","450","불검출","불검출","적합"
"15","소스","지바현","2019-05-13","1,307","불검출","불검출","적합"
