"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 159건","","","","1,728,175","","",""
"1","청주","이바라키현","2018-04-13","1,037","불검출","불검출","적합"
"2","소주","오이타현","2018-03-07","43","불검출","불검출","적합"
"3","청주","니가타현","2018-03-01","216","불검출","불검출","적합"
"4","과자","니가타현","2018-04-18","1,204","불검출","불검출","적합"
"5","소스","시즈오카현","2018-02-28","480","불검출","불검출","적합"
"6","혼합장","시즈오카현","2018-04-05","600","불검출","불검출","적합"
"7","청주","도치기현","2018-04-12","5,832","불검출","불검출","적합"
"8","청주","도치기현","2018-04-12","3,110","불검출","불검출","적합"
"9","카레(커리)","미야기현","2018-03-10","677","불검출","불검출","적합"
"10","카레(커리)","미야기현","2018-03-08","1,368","불검출","불검출","적합"
"11","카레(커리)","미야기현","2018-03-10","1,361","불검출","불검출","적합"
"12","카레(커리)","미야기현","2018-03-08","4,097","불검출","불검출","적합"
"13","액상차","후쿠이현","2018-03-13","3,672","불검출","불검출","적합"
