"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"69","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"70","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"71","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"72","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"73","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"74","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"75","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"76","떡류","니가타현","2014-06-24","280","불검출","불검출","적합"
"77","소스류","니가타현","2014-06-24","60","불검출","불검출","적합"
"78","당류가공품","지바현","2014-05-08","98","불검출","불검출","적합"
"79","청주","구마모토현","2014-03-01","2,301.6","불검출","불검출","적합"
"80","카레분","도치기현","2014-06-10","2,000","불검출","불검출","적합"
"81","혼합제제","오사카부","2014-06-24","900","불검출","불검출","적합"
"82","소스류","도치기현","2014-05-27","648","불검출","불검출","적합"
"83","소스류","도치기현","2014-05-27","324","불검출","불검출","적합"
"84","소스류","도치기현","2014-05-28","972","불검출","불검출","적합"
"85","소스류","아이치현","2014-06-12","8,640","불검출","불검출","적합"
"86","소스류","도치기현","2014-05-28","960","불검출","불검출","적합"
"87","백설탕","후쿠오카현","2014-04-26","100","불검출","불검출","적합"
"88","혼합제제","도쿄도","2014-06-30","30","불검출","불검출","적합"
