"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","49건","","94,560","","",""
"1","카레","시즈오카현","2014-05-07","207","불검출","불검출","적합"
"2","스피루리나 제품","도쿄도","2014-06-01","91.8","불검출","불검출","적합"
"3","소주","아이치현","2013-06-11","540","불검출","불검출","적합"
"4","소주","효고현","2014-03-25","130","불검출","불검출","적합"
"5","청주","효고현","2014-04-28","302.4","불검출","불검출","적합"
"6","청주","효고현","2014-04-02","216","불검출","불검출","적합"
"7","청주","효고현","2014-05-14","180","불검출","불검출","적합"
"8","청주","효고현","2014-05-29","108","불검출","불검출","적합"
"9","청주","효고현","2014-05-15","2,160","불검출","불검출","적합"
"10","청주","효고현","2014-05-22","4,320","불검출","불검출","적합"
"11","청주","효고현","2014-05-20","120","불검출","불검출","적합"
"12","청주","효고현","2014-05-23","72","불검출","불검출","적합"
"13","글루코만난","히로시마현","2014-06-10","50","불검출","불검출","적합"
"14","청주","미야기현","2014-06-17","43.2","불검출","불검출","적합"
"15","소주","미야자키현","2014-06-20","54","불검출","불검출","적합"
"16","소주","미야자키현","2014-06-19","54","불검출","불검출","적합"
"17","혼합제제","미에현","2014-06-24","45","불검출","불검출","적합"
"18","소스류","에히메현","2014-06-30","1,872","불검출","불검출","적합"
