"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","6건","","","107,330","-","-","-"
"1","냉동상어(청상아리)","대만","2015-04-23","4,096","불검출","불검출","적합"
"2","냉동고등어","중국","2015-04-23","24,000","불검출","불검출","적합"
"3","냉동곤이(명태)","러시아","2015-04-23","8,843","불검출","불검출","적합"
"4","냉동고등어","중국","2015-04-23","48,600","불검출","불검출","적합"
"5","냉동눈다랑어(F,횟감)","중국","2015-04-23","791","불검출","불검출","적합"
"6","냉동명태","러시아","2015-04-23","21,000","불검출","불검출","적합"
