"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"71","수산물가공품","후쿠시마현","2017-05-11","800","불검출","불검출","적합"
"72","빵류(그외 빵류)","돗토리현","2017-05-23","446","불검출","불검출","적합"
"73","캔디류(사탕)","아이치현","2017-05-22","288","불검출","불검출","적합"
"74","캔디류(젤리)","지바현","2017-04-25","546","불검출","불검출","적합"
"75","캔디류(젤리)","지바현","2017-04-25","546","불검출","불검출","적합"
"76","캔디류(사탕)","아이치현","2017-05-23","3,960","불검출","불검출","적합"
"77","캔디류(사탕)","아이치현","2017-05-24","1,536","불검출","불검출","적합"
"78","캔디류(사탕)","아이치현","2017-05-22","1,188","불검출","불검출","적합"
"79","캔디류(젤리)","아이치현","2017-05-24","3,672","불검출","불검출","적합"
"80","캔디류(젤리)","아이치현","2017-05-24","3,672","불검출","불검출","적합"
"81","기타가공품","사이타마현","2016-07-19","7","불검출","불검출","적합"
"82","소스류","교토부","2017-05-12","100","불검출","불검출","적합"
"83","소스류","교토부","2017-05-12","2,394","불검출","불검출","적합"
"84","혼합제제","오사카부","2017-05-17","68","불검출","불검출","적합"
"85","혼합제제","오사카부","2017-05-18","17","불검출","불검출","적합"
"86","혼합제제","오사카부","2017-05-16","68","불검출","불검출","적합"
"87","혼합제제","오사카부","2017-05-19","85","불검출","불검출","적합"
"88","혼합제제","오사카부","2017-05-19","17","불검출","불검출","적합"
"89","혼합제제","오사카부","2017-05-18","17","불검출","불검출","적합"
"90","소스류","교토부","2017-04-27","12,131","불검출","불검출","적합"
"91","유탕면류","나라현","2017-04-07","360","불검출","불검출","적합"
"92","가공두부","후쿠오카현","2017-05-26","2,601","불검출","불검출","적합"
"93","혼합장","야마나시현","2017-05-18","2,990","불검출","불검출","적합"
"94","혼합장","야마나시현","2017-05-17","2,500","불검출","불검출","적합"
"95","혼합장","야마나시현","2017-05-18","1,000","불검출","불검출","적합"
"96","기타가공품","훗카이도","2017-02-01","3","불검출","불검출","적합"
"97","건어포류","시즈오카현","2017-03-06","120","불검출","불검출","적합"
"98","맥주","오이타현","2017-04-08","298,080","불검출","불검출","적합"
"99","위스키","야마나시현","2017-04-04","1,380","불검출","불검출","적합"
"100","청주","아이치현","2017-04-10","1,080","불검출","불검출","적합"
