"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장명태","홋카이도","2016-04-28","1,194","불검출","불검출","적합"
"18","냉장갈치","와카야마현","2016-04-28","600","불검출","불검출","적합"
"19","냉장갈치","오이타현","2016-04-28","895","불검출","불검출","적합"
"20","냉장갈치","와카야마현","2016-04-28","1,360","불검출","불검출","적합"
"21","냉장갈치","에히메현","2016-04-28","328","불검출","불검출","적합"
"22","활가리비","홋카이도","2016-04-28","7,070","불검출","불검출","적합"
"23","냉장갈치","와카야마현","2016-04-28","2,016","불검출","불검출","적합"
"24","냉장민어 수조기
(
)","후쿠오카현","2016-04-28","180","불검출","불검출","적합"
"25","냉장갈치","와카야마현","2016-04-28","1,464","불검출","불검출","적합"
"26","냉장갈치","에히메현","2016-04-28","460","불검출","불검출","적합"
"27","냉장민어 수조기
(
)","미야자키현","2016-04-28","51","불검출","불검출","적합"
"28","냉장가오리","에히메현","2016-04-28","360","불검출","불검출","적합"
"29","냉동기름치","태평양","2016-04-28","23,650","불검출","불검출","적합"
"30","냉동기름치","태평양","2016-04-28","11,690","불검출","불검출","적합"
"31","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2016-04-28","1,267.3","불검출","불검출","적합"
"32","냉동새치
(
황새치 횟감
,F,
)","태평양","2016-04-28","5,395.7","불검출","불검출","적합"
