"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"17","냉장갈치","도쿠시마현","2016-05-04","385","불검출","불검출","적합"
"18","냉장명태","홋카이도","2016-05-04","2,158","불검출","불검출","적합"
"19","냉장명태","홋카이도","2016-05-04","1,750","불검출","불검출","적합"
"20","냉장대구","홋카이도","2016-05-04","1,040","불검출","불검출","적합"
"21","활가리비","홋카이도","2016-05-04","11,987","불검출","불검출","적합"
"22","냉장홍어","홋카이도","2016-05-04","286","불검출","불검출","적합"
"23","활게(참게)","야마구치현","2016-05-04","850","불검출","불검출","적합"
"24","냉장명태","홋카이도","2016-05-04","2,158","불검출","불검출","적합"
"25","냉장명태","홋카이도","2016-05-04","1,780","불검출","불검출","적합"
"26","냉장대구","홋카이도","2016-05-04","1,030","불검출","불검출","적합"
"27","활돔(돌돔)","고치현","2016-05-04","480","불검출","불검출","적합"
"28","냉장갈치","와카야마현","2016-05-04","1,300","불검출","불검출","적합"
"29","냉장갈치","에히메현","2016-05-04","1,080","불검출","불검출","적합"
"30","냉장갈치","와카야마현","2016-05-04","872","불검출","불검출","적합"
"31","냉장명태","홋카이도","2016-05-04","2,088","불검출","불검출","적합"
"32","냉장갈치","오이타현","2016-05-04","505","불검출","불검출","적합"
"33","냉장갈치","도쿠시마현","2016-05-04","770","불검출","불검출","적합"
"34","냉장갈치","효고현","2016-05-04","130","불검출","불검출","적합"
