"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","127,106","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-04-29","7,362","불검출","불검출","적합"
"2","활돔 참돔(
)","에히메현","2016-04-29","12,228","불검출","불검출","적합"
"3","활장어 먹장어
(
)","나가사키현","2016-04-29","2,511","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-04-29","13,211","불검출","불검출","적합"
"5","냉장갈치","에히메현","2016-04-29","544","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-04-29","3,640","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-04-29","7,050","불검출","불검출","적합"
"8","냉장대구","홋카이도","2016-04-29","160","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-04-29","1,225","불검출","불검출","적합"
"10","냉장갈치","도쿠시마현","2016-04-29","275","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-04-29","3,640","불검출","불검출","적합"
"12","냉장갈치","효고현","2016-04-29","425","불검출","불검출","적합"
"13","냉장갈치","에히메현","2016-04-29","290","불검출","불검출","적합"
"14","냉장갈치","야마구치현","2016-04-29","1,490","불검출","불검출","적합"
"15","냉장병어","야마구치현","2016-04-29","120","불검출","불검출","적합"
"16","냉장홍어","야마구치현","2016-04-29","530","불검출","불검출","적합"
