"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","119,746.8","-","-","-"
"1","활돔 참돔(
)","에히메현","2016-04-28","8,612","불검출","불검출","적합"
"2","활장어 먹장어
(
)","나가사키현","2016-04-28","1,599","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-04-28","8,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-04-28","8,000","불검출","불검출","적합"
"5","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2016-04-28","573.5","불검출","불검출","적합"
"6","냉동다랑어
(
눈다랑어 목살
,
)","태평양","2016-04-28","476.6","불검출","불검출","적합"
"7","냉동다랑어
(
눈다랑어 횟감
,F,
)","태평양","2016-04-28","1,882.7","불검출","불검출","적합"
"8","냉장갈치","와카야마현","2016-04-28","1,776","불검출","불검출","적합"
"9","냉장갈치","와카야마현","2016-04-28","3,792","불검출","불검출","적합"
"10","냉장갈치","야마구치현","2016-04-28","1,870","불검출","불검출","적합"
"11","냉장가오리","야마구치현","2016-04-28","80","불검출","불검출","적합"
"12","냉장갈치","후쿠오카현","2016-04-28","976","불검출","불검출","적합"
"13","냉장갑오징어","후쿠오카현","2016-04-28","1,000","불검출","불검출","적합"
"14","냉장홍어","야마구치현","2016-04-28","270","불검출","불검출","적합"
"15","냉장명태","홋카이도","2016-04-28","1,740","불검출","불검출","적합"
"16","냉장명태","홋카이도","2016-04-28","2,160","불검출","불검출","적합"
