"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","88,069","-","-","-"
"1","냉동개아지살
(가리비,포장횟감)","홋카이도","2016-09-21","8,000","불검출","불검출","적합"
"2","마른다랑어
(가다랑어,훈제)","가고시마현","2016-09-21","10,800","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-09-21","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2016-09-21","7,000","불검출","불검출","적합"
"5","활장어(먹장어)","나가사키현","2016-09-21","403","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-09-21","4,873","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2016-09-21","1,119","불검출","불검출","적합"
"8","냉장명태","홋카이도","2016-09-21","3,939","불검출","불검출","적합"
"9","냉장대구","홋카이도","2016-09-21","180","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-09-21","3,926","불검출","불검출","적합"
"11","냉장대구","홋카이도","2016-09-21","180","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2016-09-21","6,989","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-09-21","6,946","불검출","불검출","적합"
"14","활가리비","홋카이도","2016-09-21","7,021","불검출","불검출","적합"
"15","활가리비","홋카이도","2016-09-21","7,000","불검출","불검출","적합"
"16","활바리(자바리)","나가사키현","2016-09-21","379","불검출","불검출","적합"
