"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","33,511","-","-","-"
"1","냉장돔(참돔)","야마구치현","2016-09-22","150","불검출","불검출","적합"
"2","냉장돔(황돔)","야마구치현","2016-09-22","230","불검출","불검출","적합"
"3","냉장홍어","야마구치현","2016-09-22","130","불검출","불검출","적합"
"4","냉장갈치","후쿠오카현","2016-09-22","780","불검출","불검출","적합"
"5","냉장홍어","홋카이도","2016-09-22","1,739","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-09-22","1,512","불검출","불검출","적합"
"7","냉장준치","구마모토현","2016-09-22","441","불검출","불검출","적합"
"8","냉장갈치","에히메현","2016-09-22","100","불검출","불검출","적합"
"9","냉장홍어","홋카이도","2016-09-22","1,925","불검출","불검출","적합"
"10","냉장갈치","후쿠오카현","2016-09-22","825","불검출","불검출","적합"
"11","활우렁쉥이","홋카이도","2016-09-22","9,319","불검출","불검출","적합"
"12","활장어(먹장어)","후쿠오카현","2016-09-22","1,955","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-09-22","6,943","불검출","불검출","적합"
"14","냉동개아지살
(가리비,횟감)","홋카이도","2016-09-22","2,462","불검출","불검출","적합"
"15","냉동가리비
(외투막)","홋카이도","2016-09-22","5,000","불검출","불검출","적합"
