"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","210,582","-","-","-"
"1","활장어(먹장어)","나가사키현","2016-09-20","2,578","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-09-20","13,435","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-09-20","5,866","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-09-20","13,749","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2016-09-20","21,725","불검출","불검출","적합"
"6","활가리비","홋카이도","2016-09-20","7,000","불검출","불검출","적합"
"7","활가리비","홋카이도","2016-09-20","7,000","불검출","불검출","적합"
"8","활가리비","홋카이도","2016-09-20","7,000","불검출","불검출","적합"
"9","냉동다랑어(눈다
랑어,F,횟감)","대서양","2016-09-20","303","불검출","불검출","적합"
"10","냉장갈치","와카야마현","2016-09-20","3,600","불검출","불검출","적합"
"11","냉장갈치","오이타현","2016-09-20","225","불검출","불검출","적합"
"12","냉장갈치","와카야마현","2016-09-20","6,560","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2016-09-20","7,025","불검출","불검출","적합"
"14","냉장갈치","야마구치현","2016-09-20","975","불검출","불검출","적합"
"15","활가리비","홋카이도","2016-09-20","6,954","불검출","불검출","적합"
"16","냉장준치","구마모토현","2016-09-20","182","불검출","불검출","적합"
