"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 82건","","","","777,018","","",""
"1","청주","야마가타현","2018-01-08","173","불검출","불검출","적합"
"2","기타수산물가공품","훗카이도","2017-12-08","100","불검출","불검출","적합"
"3","혼합제제","시즈오카현","2018-01-11","2,000","불검출","불검출","적합"
"4","청주","이바라키현","2017-12-19","529","불검출","불검출","적합"
"5","청주","이바라키현","2017-12-19","518","불검출","불검출","적합"
"6","청주","니가타현","2017-12-28","756","불검출","불검출","적합"
"7","청주","니가타현","2017-12-27","1,037","불검출","불검출","적합"
"8","청주","니가타현","2017-12-27","1,054","불검출","불검출","적합"
"9","청주","니가타현","2017-12-27","518","불검출","불검출","적합"
"10","청주","니가타현","2017-12-08","389","불검출","불검출","적합"
"11","청주","이바라키현","2017-12-19","2","불검출","불검출","적합"
"12","l-멘톨","시즈오카현","2017-11-27","2,000","불검출","불검출","적합"
"13","캔디류","이시카와현","2017-12-26","39","불검출","불검출","적합"
