"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","","-","-","97,682","-","-","-"
"1","구운김","사가현","2016-04-05","71","불검출","불검출","적합"
"2","활돔 참돔(
)","구마모토현","2016-04-05","4,743","불검출","불검출","적합"
"3","활전갱이 흑점줄
(
전갱이)","구마모토현","2016-04-05","950","불검출","불검출","적합"
"4","활돔 참돔(
)","구마모토현","2016-04-05","17,013","불검출","불검출","적합"
"5","냉동어란
(
연어알캐비아대용
,
)","홋카이도","2016-04-05","100","불검출","불검출","적합"
"6","냉동가리비
(
외투막
)","홋카이도","2016-04-05","24,000","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2016-04-05","9,028","불검출","불검출","적합"
"8","활돔 벵에돔
(
)","사가현","2016-04-05","1,600","불검출","불검출","적합"
"9","활가리비","홋카이도","2016-04-05","6,984","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-04-05","1,380","불검출","불검출","적합"
"11","냉장가오리","야마구치현","2016-04-05","150","불검출","불검출","적합"
"12","냉장홍어","야마구치현","2016-04-05","220","불검출","불검출","적합"
"13","냉장홍어","홋카이도","2016-04-05","2,953","불검출","불검출","적합"
"14","활가리비","홋카이도","2016-04-05","6,955","불검출","불검출","적합"
"15","활장어 먹장어
(
)","나가사키현","2016-04-05","1,942","불검출","불검출","적합"
"16","냉장준치","구마모토현","2016-04-05","924","불검출","불검출","적합"
