"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 106건","","","","218,973","","",""
"1","청주","효고현","2018-08-03","2,177","불검출","불검출","적합"
"2","청주","사이타마현","2018-07-04","1,597","불검출","불검출","적합"
"3","기타장류","효고현","2018-07-23","1,728","불검출","불검출","적합"
"4","소스","사가현","2018-06-05","900","불검출","불검출","적합"
"5","소스","사가현","2018-07-12","8,100","불검출","불검출","적합"
"6","소스","사가현","2018-07-13","900","불검출","불검출","적합"
"7","마요네즈","효고현","2018-08-01","1,600","불검출","불검출","적합"
"8","카레(커리)","나라현","2018-07-20","1,000","불검출","불검출","적합"
"9","카레(커리)","아이치현","2018-07-05","1,200","불검출","불검출","적합"
"10","향신료조제품","아이치현","2018-07-05","500","불검출","불검출","적합"
"11","카레(커리)","나라현","2018-07-25","1,100","불검출","불검출","적합"
"12","카레(커리)","나라현","2018-06-16","600","불검출","불검출","적합"
"13","카레(커리)","나라현","2018-07-04","600","불검출","불검출","적합"
"14","카레(커리)","나라현","2018-06-18","600","불검출","불검출","적합"
