"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 80건","","","","572,642","","",""
"1","합성향료","효고현","2018-08-09","102","불검출","불검출","적합"
"2","혼합음료","미야자키현","2018-06-07","1,200","불검출","불검출","적합"
"3","탄산음료","후쿠오카현","2018-07-06","7,056","불검출","불검출","적합"
"4","소스","시가현","2018-08-17","25,250","불검출","불검출","적합"
"5","혼합제제","오이타현","2018-06-23","1,000","불검출","불검출","적합"
"6","맥주","후쿠오카현","2018-08-21","87,240","불검출","불검출","적합"
"7","맥주","후쿠오카현","2018-08-04","16,783","불검출","불검출","적합"
"8","탄산음료","사가현","2018-08-16","3,000","불검출","불검출","적합"
"9","양조간장","지바현","2018-06-11","5,897","불검출","불검출","적합"
"10","기타 수산물가공품","에히메현","2018-08-31","132","불검출","불검출","적합"
"11","소스","에히메현","2018-08-24","1,920","불검출","불검출","적합"
"12","소스","에히메현","2018-08-25","1,940","불검출","불검출","적합"
"13","숙면","구마모토현","2018-08-18","2,877","불검출","불검출","적합"
"14","숙면","구마모토현","2018-08-18","1,700","불검출","불검출","적합"
