"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 115건","","","","550,479","","",""
"1","맥주","후쿠오카현","2018-08-04","292,627","불검출","불검출","적합"
"2","소스","지바현","2018-08-02","7,080","불검출","불검출","적합"
"3","소스","지바현","2018-06-02","2,925","불검출","불검출","적합"
"4","청주","효고현","2018-06-13","2,400","불검출","불검출","적합"
"5","청주","교토부","2018-06-13","1,080","불검출","불검출","적합"
"6","맥주","니가타현","2018-08-02","450","불검출","불검출","적합"
"7","양조간장","지바현","2018-06-11","8,424","불검출","불검출","적합"
"8","혼합장","아이치현","2018-08-01","5,000","불검출","불검출","적합"
"9","혼합장","아이치현","2018-08-29","2,727","불검출","불검출","적합"
"10","캔디류","후쿠시마현","2018-07-02","1,642","불검출","불검출","적합"
"11","캔디류","후쿠시마현","2018-07-02","144","불검출","불검출","적합"
"12","혼합장","아이치현","2018-08-20","11,000","불검출","불검출","적합"
"13","탄산음료","아이치현","2018-07-09","7,351","불검출","불검출","적합"
"14","소스","도치기현","2018-07-26","1,931","불검출","불검출","적합"
