"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","58건","","71,467","","",""
"1","혼합제제","이바라키현","2014-04-04","405","불검출","불검출","적합"
"2","기타천연착향료","이바라키현","2014-03-25","75","불검출","불검출","적합"
"3","혼합제제","이바라키현","2014-04-02","180","불검출","불검출","적합"
"4","혼합제제","가나가와현","2014-04-09","90","불검출","불검출","적합"
"5","혼합제제","이바라키현","2014-03-31","345","불검출","불검출","적합"
"6","혼합제제","사이타마현","2014-03-12","108","불검출","불검출","적합"
"7","혼합제제","시가현","2014-04-22","50","불검출","불검출","적합"
"8","혼합제제","시가현","2014-04-22","50","불검출","불검출","적합"
"9","청주","효고현","2014-03-19","172.8","불검출","불검출","적합"
"10","청주","효고현","2014-02-27","86.4","불검출","불검출","적합"
"11","소주","가고시마현","2014-04-11","540","불검출","불검출","적합"
"12","청주","시즈오카현","2014-04-01","172.8","불검출","불검출","적합"
"13","청주","아오모리현","2014-03-19","87.84","불검출","불검출","적합"
"14","청주","구마모토현","2014-02-13","122.4","불검출","불검출","적합"
"15","국수","사가현","2014-01-29","223.2","불검출","불검출","적합"
"16","국수","사가현","2014-01-30","26.7","불검출","불검출","적합"
"17","국수","사가현","2014-01-29","29.1","불검출","불검출","적합"
"18","국수","사가현","2014-01-30","27.75","불검출","불검출","적합"
"19","국수","사가현","2014-01-29","27.75","불검출","불검출","적합"
"20","과자(스낵과자)","니가타현","2014-04-08","1,315","불검출","불검출","적합"
