"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","98건","","659,023","","",""
"1","복합조미식품","훗카이도","2014-04-21","21","불검출","불검출","적합"
"2","기타가공품","가가와현","2014-04-09","75","불검출","불검출","적합"
"3","치자황색소","오사카부","2014-03-27","10","불검출","불검출","적합"
"4","고형차","시즈오카현","2014-04-02","2,100","불검출","불검출","적합"
"5","혼합제제","교토부","2014-04-04","150","불검출","불검출","적합"
"6","드레싱","지바현","2014-02-21","396","불검출","불검출","적합"
"7","곡류가공품","에히메현","2014-04-12","1,600","불검출","불검출","적합"
"8","소스류","에히메현","2014-04-14","1,200","불검출","불검출","적합"
"9","전분가공품","에히메현","2014-04-09","6,000","불검출","불검출","적합"
"10","청주","니가타현","2013-12-16","864","불검출","불검출","적합"
"11","소스류","에히메현","2014-04-08","1,656","불검출","불검출","적합"
"12","곡류가공품","에히메현","2014-04-11","1,400","불검출","불검출","적합"
"13","기타가공품","에히메현","2014-04-14","150","불검출","불검출","적합"
"14","수산화마그네슘","도쿠시마현","2014-04-02","510","불검출","불검출","적합"
"15","건어포류","에히메현","2014-03-26","540","불검출","불검출","적합"
"16","볶은커피","오사카부","2014-04-04","1,382.4","불검출","불검출","적합"
"17","볶은커피","미에현","2014-03-15","96","불검출","불검출","적합"
"18","곡류가공품","효고현","2014-04-07","2,200","불검출","불검출","적합"
"19","청주","니가타현","2014-02-25","129.6","불검출","불검출","적합"
"20","혼합제제","오카야마현","2014-04-14","60","불검출","불검출","적합"
