"순 번","품목명","제조·생산지","제조일자","중량(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"21","혼합제제","효고현","2014-04-17","102","불검출","불검출","적합"
"22","조미건어포류","훗카이도","2014-03-14","10.5","불검출","불검출","적합"
"23","맥주","오이타현","2014-04-03","16,422","불검출","불검출","적합"
"24","맥주","오이타현","2014-03-27","11,088","불검출","불검출","적합"
"25","카레","니가타현","2013-10-11","600","불검출","불검출","적합"
"26","장류절임","야마가타현","2014-04-05","30","불검출","불검출","적합"
"27","청주","이와테현","2014-03-18","864","불검출","불검출","적합"
"28","기타가공품","와카야마현","2014-04-14","3,000","불검출","불검출","적합"
"29","효모추출물","훗카이도","2013-12-27","300","불검출","불검출","적합"
"30","기타가공품","오사카부","2014-04-10","20","불검출","불검출","적합"
"31","카레","시즈오카현","2014-03-31","1,380","불검출","불검출","적합"
"32","즉석조리식품","나가노현","2014-04-02","1,200","불검출","불검출","적합"
"33","혼합제제","시가현","2014-04-18","100","불검출","불검출","적합"
"34","혼합제제","교토부","2014-03-28","60","불검출","불검출","적합"
"35","기타천연착향료","시가현","2014-04-15","200","불검출","불검출","적합"
"36","기타천연착향료","시가현","2014-04-16","50","불검출","불검출","적합"
"37","기타천연착향료","시가현","2014-04-16","1,050","불검출","불검출","적합"
"38","혼합제제","사이타마현","2014-04-11","144","불검출","불검출","적합"
"39","혼합제제","사이타마현","2014-04-11","144","불검출","불검출","적합"
"40","혼합제제","시가현","2014-04-07","2,560","불검출","불검출","적합"
"41","혼합제제","오사카부","2014-04-10","70","불검출","불검출","적합"
"42","혼합제제","오사카부","2014-04-12","160","불검출","불검출","적합"
"43","혼합제제","효고현","2014-04-21","51","불검출","불검출","적합"
"44","효모추출물제품","오이타현","2014-03-04","1,000","불검출","불검출","적합"
"45","복합조미식품","오이타현","2014-02-23","500","불검출","불검출","적합"
"46","혼합제제","군마현","2014-04-03","500","불검출","불검출","적합"
"47","양조간장","효고현","2014-04-04","13,646.88","불검출","불검출","적합"
"48","소스류","도치기현","2014-04-03","6,513","불검출","불검출","적합"
"49","기타가공품","시즈오카현","2014-04-07","460","불검출","불검출","적합"
"50","혼합제제","오카야마현","2014-04-08","165","불검출","불검출","적합"
"51","혼합제제","나가노현","2014-04-16","125","불검출","불검출","적합"
"52","혼합제제","나가노현","2014-03-26","625","불검출","불검출","적합"
"53","장류절임","미야자키현","2014-04-23","400","불검출","불검출","적합"
"54","국수","구마모토현","2014-04-03","481.6","불검출","불검출","적합"
"55","국수","구마모토현","2014-04-11","95.98","불검출","불검출","적합"
"56","국수","구마모토현","2014-04-11","92.63","불검출","불검출","적합"
"57","기타천연착향료","나가노현","2014-02-21","400","불검출","불검출","적합"
"58","소스류","기후현","2014-04-11","2,722.08","불검출","불검출","적합"
