"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"113","청주","사가현","2017-08-31","86","불검출","불검출","적합"
"114","국수","사가현","2017-08-22","278","불검출","불검출","적합"
"115","국수","사가현","2017-08-19","278","불검출","불검출","적합"
"116","국수","사가현","2017-08-03","510","불검출","불검출","적합"
"117","국수","사가현","2017-08-09","205","불검출","불검출","적합"
"118","국수","사가현","2017-08-04","197","불검출","불검출","적합"
"119","맥주","사이타마현","2017-08-04","4,960","불검출","불검출","적합"
"120","혼합제제","시가현","2017-09-04","3,880","불검출","불검출","적합"
"121","혼합제제","시가현","2017-08-29","400","불검출","불검출","적합"
"122","혼합제제","사이타마현","2017-09-13","1,728","불검출","불검출","적합"
"123","과자(스낵과자)","이바라키현","2017-09-05","720","불검출","불검출","적합"
"124","향신료조제품
(고추냉이가공품)","도쿄도","2017-08-05","122","불검출","불검출","적합"
"125","기타주류","와카야마현","2017-08-21","22,680","불검출","불검출","적합"
"126","기타주류","효고현","2017-08-17","22,680","불검출","불검출","적합"
