"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","과자(비스킷)","사이타마현","2017-08-27","2,040","불검출","불검출","적합"
"36","혼합제제","사이타마현","2017-08-09","1,000","불검출","불검출","적합"
"37","혼합제제","사이타마현","2017-09-06","54","불검출","불검출","적합"
"38","기타천연착향료","사이타마현","2017-09-07","20","불검출","불검출","적합"
"39","카레","니가타현","2017-08-24","3,168","불검출","불검출","적합"
"40","과자(웨이퍼)","사이타마현","2017-05-22","4,474","불검출","불검출","적합"
"41","혼합제제","히로시마현","2017-09-11","1,000","불검출","불검출","적합"
"42","과자(스낵과자)","니가타현","2017-09-08","1,326","불검출","불검출","적합"
"43","과자(스낵과자)","니가타현","2017-09-11","1,224","불검출","불검출","적합"
"44","떡류","니가타현","2017-08-30","627","불검출","불검출","적합"
"45","떡류","니가타현","2017-08-30","627","불검출","불검출","적합"
"46","떡류","니가타현","2017-08-30","627","불검출","불검출","적합"
"47","떡류","니가타현","2017-09-01","627","불검출","불검출","적합"
"48","떡류","니가타현","2017-09-01","513","불검출","불검출","적합"
"49","떡류","니가타현","2017-09-01","513","불검출","불검출","적합"
"50","떡류","니가타현","2017-09-01","513","불검출","불검출","적합"
"51","떡류","니가타현","2017-09-04","456","불검출","불검출","적합"
"52","떡류","니가타현","2017-09-04","513","불검출","불검출","적합"
"53","떡류","니가타현","2017-09-04","513","불검출","불검출","적합"
"54","맥주","후쿠오카현","2017-08-30","261,720","불검출","불검출","적합"
"55","맥주","후쿠오카현","2017-08-29","83,916","불검출","불검출","적합"
"56","맥주","후쿠오카현","2017-09-05","83,916","불검출","불검출","적합"
"57","맥주","후쿠오카현","2017-09-01","16,783","불검출","불검출","적합"
"58","맥주","후쿠오카현","2017-08-01","34,896","불검출","불검출","적합"
"59","맥주","후쿠오카현","2017-09-05","35,640","불검출","불검출","적합"
