"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","맥주","후쿠오카현","2017-08-11","244,368","불검출","불검출","적합"
"36","소스류","후쿠오카현","2017-07-14","4,000","불검출","불검출","적합"
"37","청주","사이타마현","2017-08-28","802","불검출","불검출","적합"
"38","청주","사이타마현","2017-08-28","2,056","불검출","불검출","적합"
"39","청주","사이타마현","2017-08-23","1,014","불검출","불검출","적합"
"40","볶은커피","효고현","2017-08-22","210","불검출","불검출","적합"
"41","소스류","히로시마현","2017-09-12","708","불검출","불검출","적합"
"42","소스류","히로시마현","2017-07-21","245","불검출","불검출","적합"
"43","소스류","히로시마현","2017-08-23","2,331","불검출","불검출","적합"
"44","소스류","히로시마현","2017-08-24","1,940","불검출","불검출","적합"
"45","탄산수소나트륨","야마구치현","2017-09-12","17,500","불검출","불검출","적합"
"46","소스류","히로시마현","2017-09-01","1,320","불검출","불검출","적합"
"47","소스류","히로시마현","2017-08-31","2,520","불검출","불검출","적합"
"48","발효식초","히로시마현","2017-08-07","551","불검출","불검출","적합"
"49","소스류","히로시마현","2017-08-07","708","불검출","불검출","적합"
"50","소스류","히로시마현","2017-08-09","1,320","불검출","불검출","적합"
"51","소스류","도치기현","2017-08-29","1,253","불검출","불검출","적합"
"52","소스류","히로시마현","2017-09-14","1,760","불검출","불검출","적합"
"53","소스류","히로시마현","2017-01-11","225","불검출","불검출","적합"
"54","소스류","오사카부","2017-09-15","8,000","불검출","불검출","적합"
"55","인스턴트커피","군마현","2017-07-31","1,512","불검출","불검출","적합"
"56","볶은커피","오사카부","2017-08-03","276","불검출","불검출","적합"
