"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"86","과자(스낵과자)","니가타현","2017-07-17","104","불검출","불검출","적합"
"87","서류가공품","네덜란드
(수출국:일본)","2017-05-17","2,700","불검출","불검출","적합"
"88","혼합제제","나가노현","2017-08-28","200","불검출","불검출","적합"
"89","혼합제제","도쿄도","2017-09-05","360","불검출","불검출","적합"
"90","염화마그네슘","오카야마현","2017-08-30","12,000","불검출","불검출","적합"
"91","어묵","시마네현","2017-07-16","3,180","불검출","불검출","적합"
"92","어묵","시마네현","2017-09-01","7,644","불검출","불검출","적합"
"93","소스류","시즈오카현","2017-08-28","1,260","불검출","불검출","적합"
"94","소스류","사가현","2017-09-08","2,070","불검출","불검출","적합"
"95","어묵","시마네현","2017-09-06","350","불검출","불검출","적합"
"96","캔디류(양갱)","아이치현","2017-09-08","864","불검출","불검출","적합"
"97","소스류","에히메현","2017-08-28","1,134","불검출","불검출","적합"
"98","유탕면류","군마현","2017-08-17","389","불검출","불검출","적합"
"99","유탕면류","시즈오카현","2017-08-04","281","불검출","불검출","적합"
"100","유탕면류","군마현","2017-08-09","246","불검출","불검출","적합"
"101","유탕면류","도치기현","2017-08-31","230","불검출","불검출","적합"
"102","소스류","시즈오카현","2017-09-04","2,334","불검출","불검출","적합"
"103","소스류","사가현","2017-09-01","2,450","불검출","불검출","적합"
"104","어묵","시마네현","2017-08-06","3,822","불검출","불검출","적합"
"105","혼합제제","시가현","2017-09-14","25","불검출","불검출","적합"
"106","혼합제제","시가현","2017-09-14","50","불검출","불검출","적합"
"107","혼합제제","사이타마현","2017-09-14","20","불검출","불검출","적합"
"108","청주","나가노현","2017-08-08","138","불검출","불검출","적합"
"109","청주","히로시마현","2017-07-05","540","불검출","불검출","적합"
"110","청주","히로시마현","2017-07-10","158","불검출","불검출","적합"
"111","청주","이와테현","2017-08-29","432","불검출","불검출","적합"
"112","청주","이시카와현","2017-08-16","173","불검출","불검출","적합"
