"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"60","청주","구마모토현","2017-09-01","2,644","불검출","불검출","적합"
"61","청주","시가현","2017-09-06","86","불검출","불검출","적합"
"62","혼합제제","지바현","2017-08-30","156","불검출","불검출","적합"
"63","고형차","지바현","2016-12-07","60","불검출","불검출","적합"
"64","초콜릿가공품","도치기현","2017-08-10","1,418","불검출","불검출","적합"
"65","과자(스낵과자)","야마가타현","2017-08-04","234","불검출","불검출","적합"
"66","과자(스낵과자)","야마가타현","2017-08-09","118","불검출","불검출","적합"
"67","빙과류","아이치현","2017-09-08","12,808","불검출","불검출","적합"
"68","혼합제제","오사카부","2017-09-04","120","불검출","불검출","적합"
"69","조미된장","아이치현","2017-08-30","7,000","불검출","불검출","적합"
"70","조미된장","아이치현","2017-09-04","8,000","불검출","불검출","적합"
"71","조미된장","아이치현","2017-08-04","3,072","불검출","불검출","적합"
"72","과자(스낵과자)","이바라키현","2017-08-06","1,400","불검출","불검출","적합"
"73","과자(스낵과자)","이바라키현","2017-08-08","1,680","불검출","불검출","적합"
"74","캔디류(사탕)","아이치현","2017-09-08","540","불검출","불검출","적합"
"75","과자(스낵과자)","아이치현","2017-08-31","106","불검출","불검출","적합"
"76","캔디류(사탕)","아이치현","2017-09-08","194","불검출","불검출","적합"
"77","과자(스낵과자)","이바라키현","2017-08-07","1,200","불검출","불검출","적합"
"78","초콜릿가공품","훗카이도","2017-08-14","469","불검출","불검출","적합"
"79","공액리놀레산","시즈오카현","2017-07-06","375","불검출","불검출","적합"
"80","유산균음료","시즈오카현","2017-09-04","711","불검출","불검출","적합"
"81","과자(스낵과자)","니가타현","2017-09-07","2,652","불검출","불검출","적합"
"82","소주","가고시마현","2017-08-23","108","불검출","불검출","적합"
"83","양조간장","효고현","2017-08-08","13,799","불검출","불검출","적합"
"84","양조간장","효고현","2017-08-28","14,602","불검출","불검출","적합"
"85","양조간장","효고현","2017-08-28","13,799","불검출","불검출","적합"
