"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"10","캔디류(사탕)","후쿠시마현","2017-08-28","274","불검출","불검출","적합"
"11","과자(비스킷)","니가타현","2017-07-27","130","불검출","불검출","적합"
"12","당류가공품","오사카부","2017-08-28","85","불검출","불검출","적합"
"13","유탕면류","이바라키현","2017-08-28","738","불검출","불검출","적합"
"14","국수","아키타현","2017-09-06","324","불검출","불검출","적합"
"15","캔디류(양갱)","도쿄도","2017-08-28","174","불검출","불검출","적합"
"16","유탕면류","이바라키현","2017-08-28","605","불검출","불검출","적합"
"17","혼합제제","오카야마현","2017-09-12","60","불검출","불검출","적합"
"18","청국장","훗카이도","2017-09-02","2,970","불검출","불검출","적합"
"19","소스류","에히메현","2017-08-04","756","불검출","불검출","적합"
"20","청주","후쿠오카현","2017-08-31","432","불검출","불검출","적합"
"21","청주","후쿠오카현","2017-08-31","12,852","불검출","불검출","적합"
"22","청주","효고현","2017-09-11","691","불검출","불검출","적합"
"23","청주","효고현","2017-09-11","43","불검출","불검출","적합"
"24","빵류(케이크)","훗카이도","2017-09-19","83","불검출","불검출","적합"
"25","빵류(케이크)","훗카이도","2017-09-19","62","불검출","불검출","적합"
"26","빵류(케이크)","훗카이도","2017-09-19","575","불검출","불검출","적합"
"27","소주","가고시마현","2017-07-28","43","불검출","불검출","적합"
"28","혼합제제","히로시마현","2017-08-22","1,800","불검출","불검출","적합"
"29","소스류","가나가와현","(2018-08-19)","248","불검출","불검출","적합"
"30","캔디류(캐러멜)","도치기현","2017-07-31","6,258","불검출","불검출","적합"
"31","양조간장","지바현","2017-07-04","6,318","불검출","불검출","적합"
"32","가공두부","후쿠오카현","2017-09-13","1,955","불검출","불검출","적합"
"33","락타아제","시가현","2016-09-15","31","불검출","불검출","적합"
"34","과자(비스킷)","사이타마현","2017-08-28","2,040","불검출","불검출","적합"
