"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"86","건어포류","에히메현","2017-08-31","1,368","불검출","불검출","적합"
"87","혼합제제","사이타마현","2017-09-14","200","불검출","불검출","적합"
"88","청주","도치기현","2017-08-08","19,296","불검출","불검출","적합"
"89","당류가공품","지바현","2017-08-28","360","불검출","불검출","적합"
"90","청주","효고현","2017-06-12","43","불검출","불검출","적합"
"91","카레","효고현","2017-08-25","8,800","불검출","불검출","적합"
"92","황산알루미늄칼륨","나가노현","2017-08-22","5,000","불검출","불검출","적합"
"93","과자(크래커)","니가타현","2017-08-03","102","불검출","불검출","적합"
"94","청주","나라현","2017-09-05","370","불검출","불검출","적합"
"95","청주","야마구치현","2017-08-28","86","불검출","불검출","적합"
"96","청주","야마가타현","2017-08-25","130","불검출","불검출","적합"
"97","소주","효고현","2017-07-12","173","불검출","불검출","적합"
"98","청주","후쿠이현","2017-09-01","130","불검출","불검출","적합"
"99","소스류","니가타현","2017-05-24","1,728","불검출","불검출","적합"
"100","청주","기후현","2017-09-01","130","불검출","불검출","적합"
"101","청주","시마네현","2017-08-29","86","불검출","불검출","적합"
"102","소스류","히로시마현","2017-08-31","3,150","불검출","불검출","적합"
"103","소스류","히로시마현","2017-08-23","2,443","불검출","불검출","적합"
"104","소스류","히로시마현","2017-08-29","144","불검출","불검출","적합"
"105","소스류","히로시마현","2017-08-02","2,520","불검출","불검출","적합"
"106","소스류","히로시마현","2017-09-01","3,960","불검출","불검출","적합"
"107","청주","사가현","2017-08-24","259","불검출","불검출","적합"
"108","캔디류(젤리)","군마현","2017-08-04","9,984","불검출","불검출","적합"
"109","볶은커피","시즈오카현","2017-09-04","2,916","불검출","불검출","적합"
"110","효모추출물제품","오이타현","2017-02-17","1,000","불검출","불검출","적합"
"111","소스류","시즈오카현","2017-09-05","403","불검출","불검출","적합"
"112","청주","사가현","2017-08-24","86","불검출","불검출","적합"
