"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"113","청주","니가타현","2017-07-31","173","불검출","불검출","적합"
"114","청주","사이타마현","2017-08-01","120","불검출","불검출","적합"
"115","청주","효고현","2017-08-09","540","불검출","불검출","적합"
"116","소주","가고시마현","2017-08-21","86","불검출","불검출","적합"
"117","청주","니가타현","2017-08-02","173","불검출","불검출","적합"
"118","청주","효고현","2017-08-23","12,000","불검출","불검출","적합"
"119","청주","효고현","2017-08-28","12,000","불검출","불검출","적합"
"120","청주","효고현","2017-06-14","2,700","불검출","불검출","적합"
"121","청주","교토부","2017-07-27","1,620","불검출","불검출","적합"
"122","청주","효고현","2017-09-05","12,000","불검출","불검출","적합"
"123","청주","효고현","2017-09-08","5,400","불검출","불검출","적합"
"124","캔디류(사탕)","아이치현","2017-09-15","2,520","불검출","불검출","적합"
"125","캔디류(사탕)","아이치현","2017-09-15","2,304","불검출","불검출","적합"
"126","캔디류(사탕)","아이치현","2017-09-15","5,400","불검출","불검출","적합"
"127","캔디류(사탕)","아이치현","2017-09-07","1,386","불검출","불검출","적합"
"128","캔디류(사탕)","아이치현","2017-09-06","2,112","불검출","불검출","적합"
"129","캔디류(사탕)","아이치현","2017-09-08","2,700","불검출","불검출","적합"
"130","캔디류(사탕)","아이치현","2017-09-06","1,620","불검출","불검출","적합"
"131","청주","오카야마현","2017-08-21","130","불검출","불검출","적합"
"132","청주","오카야마현","2017-08-21","130","불검출","불검출","적합"
"133","청주","오카야마현","2017-08-21","54","불검출","불검출","적합"
"134","청주","오카야마현","2017-08-21","130","불검출","불검출","적합"
"135","청주","오카야마현","2017-08-21","130","불검출","불검출","적합"
"136","청주","가가와현","2017-08-24","43","불검출","불검출","적합"
