"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"87","청주","히로시마현","2017-08-22","173","불검출","불검출","적합"
"88","청주","야마가타현","2017-06-07","367","불검출","불검출","적합"
"89","청주","아키타현","2017-09-01","648","불검출","불검출","적합"
"90","청주","니가타현","2017-08-18","65","불검출","불검출","적합"
"91","청주","사가현","2017-06-03","173","불검출","불검출","적합"
"92","청주","니가타현","2017-08-23","346","불검출","불검출","적합"
"93","청주","니가타현","2017-08-01","756","불검출","불검출","적합"
"94","소주","가고시마현","2017-09-05","475","불검출","불검출","적합"
"95","청주","사가현","2017-05-31","594","불검출","불검출","적합"
"96","청주","도치기현","2017-03-28","86","불검출","불검출","적합"
"97","청주","후쿠오카현","2017-08-21","26","불검출","불검출","적합"
"98","청주","돗토리현","2017-08-21","86","불검출","불검출","적합"
"99","청주","아키타현","2017-09-01","187","불검출","불검출","적합"
"100","청주","아키타현","2017-09-01","86","불검출","불검출","적합"
"101","청주","고치현","2017-08-18","691","불검출","불검출","적합"
"102","캔디류(사탕)","효고현","2017-09-01","250","불검출","불검출","적합"
"103","밀가루","후쿠오카현","2017-08-31","500","불검출","불검출","적합"
"104","혼합제제","효고현","2017-09-07","17","불검출","불검출","적합"
"105","혼합제제","효고현","2017-09-07","17","불검출","불검출","적합"
"106","볶은커피","오사카부","(2018-05-01)","1,707","불검출","불검출","적합"
"107","기타가공품","시즈오카현","2017-03-06","2,810","불검출","불검출","적합"
"108","맥주","이바라키현","2017-08-28","3,881","불검출","불검출","적합"
"109","맥주","이바라키현","2017-08-23","2,772","불검출","불검출","적합"
"110","맥주","이바라키현","2017-08-17","5,544","불검출","불검출","적합"
"111","과자(스낵과자)","미에현","2017-08-31","6,345","불검출","불검출","적합"
"112","국수","구마모토현","2017-08-28","615","불검출","불검출","적합"
"113","국수","구마모토현","2017-08-21","570","불검출","불검출","적합"
