"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"35","캔디류(사탕)","아이치현","2017-09-08","194","불검출","불검출","적합"
"36","과자(스낵과자)","아이치현","2017-09-06","245","불검출","불검출","적합"
"37","캔디류(사탕)","아이치현","2017-09-07","1,188","불검출","불검출","적합"
"38","소스류","히로시마현","2017-09-01","900","불검출","불검출","적합"
"39","소스류","사이타마현","2017-08-08","120","불검출","불검출","적합"
"40","소스류","교토부","2017-08-28","50","불검출","불검출","적합"
"41","밀크초콜릿","가나가와현","2017-08-29","156","불검출","불검출","적합"
"42","밀크초콜릿","가나가와현","2017-08-16","242","불검출","불검출","적합"
"43","효모추출물제품","오이타현","2017-07-29","5,000","불검출","불검출","적합"
"44","밀크초콜릿","오사카부","2017-08-04","230","불검출","불검출","적합"
"45","준초콜릿","사이타마현","2017-08-21","221","불검출","불검출","적합"
"46","코코아분말","가나","2017-03-31","3,900","불검출","불검출","적합"
"47","혼합제제","오사카부","2017-09-11","45","불검출","불검출","적합"
"48","혼합제제","오사카부","2017-07-07","60","불검출","불검출","적합"
"49","소주","후쿠오카현","2017-08-31","756","불검출","불검출","적합"
"50","소주","나가사키현","2017-08-11","86","불검출","불검출","적합"
"51","소주","미야자키현","2017-07-19","108","불검출","불검출","적합"
"52","청주","아키타현","2017-09-01","130","불검출","불검출","적합"
"53","청주","니가타현","2017-08-22","173","불검출","불검출","적합"
"54","청주","니가타현","2017-08-21","135","불검출","불검출","적합"
"55","청주","사가현","2017-02-23","86","불검출","불검출","적합"
"56","청주","사가현","2017-04-02","346","불검출","불검출","적합"
"57","청주","야마구치현","2017-08-10","130","불검출","불검출","적합"
"58","청주","사가현","2017-08-22","86","불검출","불검출","적합"
"59","청주","도쿄도","2017-08-22","259","불검출","불검출","적합"
