"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"114","국수","사가현","2017-08-23","279","불검출","불검출","적합"
"115","국수","구마모토현","2017-08-27","492","불검출","불검출","적합"
"116","커피/건조","라오스
(수출국:일본)","2017-02-26","34,290","불검출","불검출","적합"
"117","액상차","효고현","2017-09-02","40,572","불검출","불검출","적합"
"118","혼합제제","고치현","2017-09-19","400","불검출","불검출","적합"
"119","혼합제제","효고현","2017-05-19","100","불검출","불검출","적합"
"120","향신료조제품","사이타마현","2017-06-02","129","불검출","불검출","적합"
"121","수산물가공품","니가타현","2017-07-29","2,340","불검출","불검출","적합"
"122","맥주","오이타현","2017-08-01","29,520","불검출","불검출","적합"
"123","맥주","오이타현","2017-08-21","13,000","불검출","불검출","적합"
"124","가공두부","나가노현","2017-07-25","4,690","불검출","불검출","적합"
"125","가공두부","나가노현","2017-08-08","1,764","불검출","불검출","적합"
"126","가공두부","나가노현","2017-08-23","7,658","불검출","불검출","적합"
"127","가공두부","나가노현","2017-08-09","13,734","불검출","불검출","적합"
"128","청주","이와테현","2017-02-24","30","불검출","불검출","적합"
"129","청주","아오모리현","2017-09-01","43","불검출","불검출","적합"
"130","볶은커피","시즈오카현","2017-09-01","11,652","불검출","불검출","적합"
"131","소스류","히로시마현","2017-08-18","2,447","불검출","불검출","적합"
"132","소스류","히로시마현","2017-04-24","4,500","불검출","불검출","적합"
"133","국수","구마모토현","2017-08-22","321","불검출","불검출","적합"
"134","국수","구마모토현","2017-08-28","189","불검출","불검출","적합"
"135","국수","구마모토현","2017-08-21","198","불검출","불검출","적합"
"136","국수","구마모토현","2017-08-28","198","불검출","불검출","적합"
"137","국수","구마모토현","2017-08-22","615","불검출","불검출","적합"
