"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"117","초콜릿가공품","이바라키현","2017-07-24","16,100","불검출","불검출","적합"
"118","볶은커피","시즈오카현","2017-07-10","540","불검출","불검출","적합"
"119","볶은커피","시즈오카현","2017-06-16","16","불검출","불검출","적합"
"120","볶은커피","시즈오카현","2017-06-16","16","불검출","불검출","적합"
"121","볶은커피","가나가와현","2017-07-24","2,340","불검출","불검출","적합"
"122","볶은커피","효고현","2017-06-16","20","불검출","불검출","적합"
"123","카레","아이치현","2017-07-21","1,200","불검출","불검출","적합"
"124","볶은커피","효고현","2017-06-21","20","불검출","불검출","적합"
"125","볶은커피","효고현","2017-06-19","20","불검출","불검출","적합"
"126","인스턴트커피","오사카부","2017-06-08","65","불검출","불검출","적합"
"127","인스턴트커피","오사카부","2017-06-08","65","불검출","불검출","적합"
"128","액상커피","시가현","2017-07-17","18,000","불검출","불검출","적합"
"129","액상커피","시가현","2017-07-13","16,200","불검출","불검출","적합"
"130","소스류","가나가와현","(2018-07-18)","248","불검출","불검출","적합"
"131","소스류","가나가와현","(2018-07-14)","84","불검출","불검출","적합"
"132","소스류","가나가와현","(2018-08-24)","383","불검출","불검출","적합"
"133","소스류","가나가와현","(2018-08-24)","401","불검출","불검출","적합"
"134","소스류","가나가와현","(2018-07-15)","455","불검출","불검출","적합"
"135","소스류","가나가와현","(2018-07-15)","259","불검출","불검출","적합"
"136","소주","가고시마현","2017-08-07","14,950","불검출","불검출","적합"
"137","소스류","가나가와현","(2018-03-14)","45","불검출","불검출","적합"
"138","합성착향료","오사카부","2017-07-20","300","불검출","불검출","적합"
"139","소스류","가나가와현","(2018-08-24)","257","불검출","불검출","적합"
"140","혼합제제","효고현","2017-07-25","5,000","불검출","불검출","적합"
"141","떡류","도치기현","2017-06-02","1,000","불검출","불검출","적합"
"142","혼합제제","지바현","2017-07-21","12","불검출","불검출","적합"
"143","혼합제제","지바현","2017-07-25","96","불검출","불검출","적합"
"144","혼합제제","지바현","2017-07-21","24","불검출","불검출","적합"
"145","혼합제제","지바현","2017-07-24","400","불검출","불검출","적합"
"146","혼합제제","지바현","2017-07-24","240","불검출","불검출","적합"
