"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 146건","","","","1,321,898","","",""
"1","청주","교토부","2017-07-12","403","불검출","불검출","적합"
"2","청주","교토부","2017-07-24","216","불검출","불검출","적합"
"3","청주","교토부","2017-07-19","1,685","불검출","불검출","적합"
"4","맥주","후쿠오카현","2017-07-14","261,720","불검출","불검출","적합"
"5","향신료조제품","사이타마현","2017-05-19","48","불검출","불검출","적합"
"6","향신료조제품
(고추냉이가공품)","사이타마현","2017-07-04","215","불검출","불검출","적합"
"7","카레","니가타현","2017-06-02","360","불검출","불검출","적합"
"8","카레","니가타현","2017-06-12","576","불검출","불검출","적합"
"9","카레","니가타현","2017-07-05","1,152","불검출","불검출","적합"
"10","카레","니가타현","2017-06-13","1,152","불검출","불검출","적합"
"11","캔디류(사탕)","시즈오카현","2017-05-02","428","불검출","불검출","적합"
"12","소스류","후쿠오카현","2017-07-11","60","불검출","불검출","적합"
