"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"13","소스류","에히메현","2017-04-19","504","불검출","불검출","적합"
"14","가공두부","이시카와현","2017-07-18","1,500","불검출","불검출","적합"
"15","캔디류(양갱)","아이치현","2017-07-27","346","불검출","불검출","적합"
"16","양조간장","지바현","2017-05-15","1,087","불검출","불검출","적합"
"17","양조간장","지바현","2017-06-13","527","불검출","불검출","적합"
"18","양조간장","지바현","2017-06-21","5,054","불검출","불검출","적합"
"19","소스류","지바현","2017-06-20","231","불검출","불검출","적합"
"20","캔디류(사탕)","도야마현","2017-06-19","487","불검출","불검출","적합"
"21","국수","훗카이도","2017-06-12","4,000","불검출","불검출","적합"
"22","복합조미식품","미에현","2017-07-04","34","불검출","불검출","적합"
"23","복합조미식품","이바라키현","2017-06-29","29","불검출","불검출","적합"
"24","복합조미식품","미에현","2017-07-04","51","불검출","불검출","적합"
"25","복합조미식품","미에현","2017-06-15","17","불검출","불검출","적합"
"26","복합조미식품","미에현","2017-06-21","8","불검출","불검출","적합"
"27","즉석조리식품","미에현","2017-05-30","14","불검출","불검출","적합"
"28","곡류가공품","후쿠시마현","2017-06-28","120","불검출","불검출","적합"
"29","복합조미식품","미에현","2017-07-07","41","불검출","불검출","적합"
"30","과자(스낵과자)","교토부","(2017-10-10)","23","불검출","불검출","적합"
"31","과자(스낵과자)","교토부","(2017-10-10)","326","불검출","불검출","적합"
"32","과자(스낵과자)","오사카부","(2017-10-10)","165","불검출","불검출","적합"
"33","과자(스낵과자)","교토부","(2017-10-10)","17","불검출","불검출","적합"
"34","과자(스낵과자)","효고현","(2017-10-10)","21","불검출","불검출","적합"
"35","과자(스낵과자)","효고현","(2017-10-10)","26","불검출","불검출","적합"
"36","과자(스낵과자)","효고현","(2017-10-10)","47","불검출","불검출","적합"
"37","청주","사이타마현","2017-07-19","6,480","불검출","불검출","적합"
"38","기타가공품","도쿄도","(2019-06-28)","6","불검출","불검출","적합"
"39","전분가공품","에히메현","2017-07-21","11,980","불검출","불검출","적합"
"40","곡류가공품","에히메현","2017-07-24","5,000","불검출","불검출","적합"
"41","드레싱","지바현","2017-07-04","1,980","불검출","불검출","적합"
"42","소스류","에히메현","2017-07-20","1,800","불검출","불검출","적합"
"43","소스류","에히메현","2017-07-24","1,800","불검출","불검출","적합"
"44","소스류","에히메현","2017-07-24","888","불검출","불검출","적합"
"45","자일리톨","핀란드","2017-04-18","10,000","불검출","불검출","적합"
"46","양조간장","군마현","2017-07-24","1,176","불검출","불검출","적합"
"47","탄산음료","사가현","2017-06-17","14,393","불검출","불검출","적합"
