"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","오이타현","2015-10-13","1,615","불검출","불검출","적합"
"18","냉장갈치","야마구치현","2015-10-13","500","불검출","불검출","적합"
"19","냉장갈치","와카야마현","2015-10-13","1,568","불검출","불검출","적합"
"20","냉장갈치","야마구치현","2015-10-13","1,810","불검출","불검출","적합"
"21","냉장갈치","오이타현","2015-10-13","1,020","불검출","불검출","적합"
"22","냉장돔 황돔(
)","나가사키현","2015-10-13","328","불검출","불검출","적합"
"23","냉장돔 황돔(
)","야마구치현","2015-10-13","240","불검출","불검출","적합"
"24","냉장갈치","에히메현","2015-10-13","970","불검출","불검출","적합"
"25","냉장갈치","오이타현","2015-10-13","1,950","불검출","불검출","적합"
"26","냉장돔 황돔(
)","야마구치현","2015-10-13","1,115","불검출","불검출","적합"
"27","냉장준치","구마모토현","2015-10-13","441","불검출","불검출","적합"
"28","냉장갈치","오이타현","2015-10-13","1,995","불검출","불검출","적합"
"29","냉장홍어","야마구치현","2015-10-13","440","불검출","불검출","적합"
"30","냉장명태","홋카이도","2015-10-13","6,000","불검출","불검출","적합"
"31","활꼬막","후쿠오카현","2015-10-13","580","불검출","불검출","적합"
"32","활꼬막 새꼬막
(
)","후쿠오카현","2015-10-13","1,500","불검출","불검출","적합"
"33","활꼬막","사가현","2015-10-13","600","불검출","불검출","적합"
"34","활꼬막 새꼬막
(
)","사가현","2015-10-13","3,000","불검출","불검출","적합"
"35","냉장준치","구마모토현","2015-10-13","497","불검출","불검출","적합"
"36","냉장갈치","에히메현","2015-10-13","592","불검출","불검출","적합"
"37","냉장갈치","효고현","2015-10-13","200","불검출","불검출","적합"
"38","냉장갈치","와카야마현","2015-10-13","696","불검출","불검출","적합"
