"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","13건","-","-","50,787","-","-","-"
"1","활가리비","홋카이도","2014-04-25","5,800","불검출","불검출","적합"
"2","냉동멸치","교토부","2014-04-25","24,000","불검출","불검출","적합"
"3","활대합(북방대합)","홋카이도","2014-04-25","170","불검출","불검출","적합"
"4","냉장홍어","야마구치현","2014-04-25","530","불검출","불검출","적합"
"5","냉장가오리","야마구치현","2014-04-25","320","불검출","불검출","적합"
"6","냉장민어(수조기)","야마구치현","2014-04-25","273","불검출","불검출","적합"
"7","냉장가오리","야마구치현","2014-04-25","448","불검출","불검출","적합"
"8","냉장가오리","오사카부","2014-04-25","403","불검출","불검출","적합"
"9","활가리비","홋카이도","2014-04-25","13,474","불검출","불검출","적합"
"10","냉장명태","홋카이도","2014-04-25","2,788","불검출","불검출","적합"
"11","냉장갈치","와카야마현","2014-04-25","291","불검출","불검출","적합"
"12","냉장갈치","후쿠오카현","2014-04-25","130","불검출","불검출","적합"
"13","활꼬막","사가현","2014-04-25","2,160","불검출","불검출","적합"
