"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","160건","","138,487","","",""
"1","과자(스낵과자)","도쿄도","2014-02-20","105","불검출","불검출","적합"
"2","추잉껌","오사카부","2014-01-02","687","불검출","불검출","적합"
"3","소스류","아이치현","2014-02-07","56","불검출","불검출","적합"
"4","빵류(그외 빵류)","에히메현","2014-03-12","140","불검출","불검출","적합"
"5","소스류","가나가와현","2014-03-20","401","불검출","불검출","적합"
"6","청주","고치현","2014-03-26","86.4","불검출","불검출","적합"
"7","청주","돗토리현","2014-04-08","432","불검출","불검출","적합"
"8","청주","돗토리현","2014-04-08","72","불검출","불검출","적합"
"9","청주","돗토리현","2014-03-25","36","불검출","불검출","적합"
"10","볶은커피","효고현","2014-02-13","6,000","불검출","불검출","적합"
"11","볶은커피","사이타마현","2014-02-06","300","불검출","불검출","적합"
"12","볶은커피","시즈오카현","2014-03-19","38.4","불검출","불검출","적합"
"13","볶은커피","시즈오카현","2014-03-08","38.4","불검출","불검출","적합"
"14","볶은커피","시즈오카현","2014-03-15","53.8","불검출","불검출","적합"
"15","볶은커피","시즈오카현","2014-02-26","50.4","불검출","불검출","적합"
"16","볶은커피","사이타마현","2014-02-07","900","불검출","불검출","적합"
