"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","4건","-","-","666,415","-","-","-"
"1","냉동명태","러시아","2014-04-25","183,933","불검출","불검출","적합"
"2","냉동고등어","중국","2014-04-25","24,000","불검출","불검출","적합"
"3","냉동명태","러시아","2014-04-25","446,082","불검출","불검출","적합"
"4","마른명태","러시아","2014-04-25","12,400","불검출","불검출","적합"
