"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","82건","","183,523","","",""
"1","과자(스낵과자)","후쿠오카현","2014-02-25","105","불검출","불검출","적합"
"2","합성착향료","야마가타현","2014-03-13","11","불검출","불검출","적합"
"3","합성착향료","야마가타현","2014-03-13","46","불검출","불검출","적합"
"4","과자(스낵과자)","도쿄도","2013-12-19","176","불검출","불검출","적합"
"5","소스류","교토부","2014-02-27","1,048","불검출","불검출","적합"
"6","빵류(그외 빵류)","훗카이도","2014-03-28","1,050","불검출","불검출","적합"
"7","양조간장","지바현","2014-02-06","8,424","불검출","불검출","적합"
"8","소스류","지바현","2014-03-07","385.2","불검출","불검출","적합"
"9","소스류","지바현","2014-03-07","466.2","불검출","불검출","적합"
"10","소스류","지바현","2014-03-07","192.6","불검출","불검출","적합"
"11","국수","사이타마현","2014-03-11","748","불검출","불검출","적합"
"12","국수","사이타마현","2014-03-11","314.5","불검출","불검출","적합"
"13","국수","사이타마현","2014-03-11","639.2","불검출","불검출","적합"
"14","국수","사이타마현","2014-03-11","314.5","불검출","불검출","적합"
"15","국수","사이타마현","2014-03-11","665","불검출","불검출","적합"
"16","소스류","지바현","2014-02-20","5,400","불검출","불검출","적합"
