"순번","품목명","제조·생산지","유통기한
(포장일자)","중량(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","","","42,890","","",""
"1","능이/건조","중국","2018년
(생산년도)","450","3","-","적합"
"2","능이/건조","중국","2020.08.31.","132","4","-","적합"
"3","능이/냉동","중국","2021.10.21.","4,500","2","-","적합"
"4","능이/냉동","중국","2020.08.31.","12,208","4","-","적합"
"5","능이/냉동","중국","2018.09.10.","11,196","2","-","적합"
"6","능이/냉동","중국","2021.03.29.","14,404","4","-","적합"
"7","능이/건조","중국","2021.10.31.","30","3","-","적합"
