"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"78","천연향신료","사이타마현","2018-09-19","44","불검출","불검출","적합"
"79","효모식품","오이타현","2018-04-14","3,200","불검출","불검출","적합"
"80","소스","가나가와현","2018-10-22","274","불검출","불검출","적합"
"81","소스","가나가와현","2018-10-18","259","불검출","불검출","적합"
"82","혼합장","나가노현","2018-09-25","550","불검출","불검출","적합"
"83","소스","나가사키현","2018-09-20","708","불검출","불검출","적합"
"84","캔디류","나가노현","2018-08-13","196","불검출","불검출","적합"
"85","스피루리나 제품","도야마현","2018-08-21","612","불검출","불검출","적합"
"86","스피루리나 제품","도야마현","2018-08-17","1,236","불검출","불검출","적합"
"87","소스","히로시마현","2018-10-02","6,300","불검출","불검출","적합"
"88","캔디류","도쿄도","2018-09-25","165","불검출","불검출","적합"
"89","유탕면","도치기현","2018-09-27","173","불검출","불검출","적합"
"90","캔디류","나라현","2018-09-27","1,152","불검출","불검출","적합"
"91","과자","아이치현","2018-10-04","342","불검출","불검출","적합"
"92","탄산음료","오사카부","2018-09-19","600","불검출","불검출","적합"
"93","과자","니가타현","2018-09-25","311","불검출","불검출","적합"
"94","캔디류","나라현","2018-10-09","5,875","불검출","불검출","적합"
"95","어묵","ETC","2018-09-16","2,000","불검출","불검출","적합"
"96","캔디류","나라현","2018-10-05","1,152","불검출","불검출","적합"
"97","캔디류","나라현","2018-10-04","5,740","불검출","불검출","적합"
"98","캔디류","도쿄도","2018-09-26","161","불검출","불검출","적합"
"99","탄산음료","오사카부","2018-09-08","600","불검출","불검출","적합"
"100","캔디류","나라현","2018-10-05","1,152","불검출","불검출","적합"
"101","유탕면","도치기현","2018-09-05","69","불검출","불검출","적합"
"102","소스","히로시마현","2018-09-20","1,274","불검출","불검출","적합"
"103","혼합제제","효고현","2018-09-26","600","불검출","불검출","적합"
"104","혼합제제","효고현","2018-06-15","60","불검출","불검출","적합"
"105","소스","사이타마현","2018-02-01","160","불검출","불검출","적합"
"106","즉석조리식품","사이타마현","2018-05-22","102","불검출","불검출","적합"
"107","소스","사이타마현","2018-07-19","102","불검출","불검출","적합"
"108","소스","가나가와현","2018-10-18","274","불검출","불검출","적합"
"109","캔디류","나가노현","2018-10-03","282","불검출","불검출","적합"
"110","소스","가나가와현","2018-10-22","981","불검출","불검출","적합"
