"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","1,474,870","-","-","-"
"1","냉동꽁치","대만","2017-01-04","30,992","불검출","불검출","적합"
"2","냉동꽁치","대만","2017-01-04","558,320","불검출","불검출","적합"
"3","냉동가자미
(각시가자미)","러시아","2017-01-04","22,500","불검출","불검출","적합"
"4","냉동꽁치","대만","2017-01-04","251,747","불검출","불검출","적합"
"5","냉동꽁치","대만","2017-01-04","137,420","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-01-04","114,710","불검출","불검출","적합"
"7","냉동명태(F)","러시아","2017-01-04","23,950","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-01-04","133,616","불검출","불검출","적합"
"9","냉동명태(F)","러시아","2017-01-04","21,375","불검출","불검출","적합"
"10","냉동꽁치","대만","2017-01-04","180,240","불검출","불검출","적합"
