"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","880,929.2","-","-","-"
"1","냉동다랑어
(눈다랑어)","대만","2017-01-03","8,622","불검출","불검출","적합"
"2","냉동고등어(F)","중국","2017-01-03","800","불검출","불검출","적합"
"3","냉동꽁치","대만","2017-01-03","44,690","불검출","불검출","적합"
"4","냉동꽁치","대만","2017-01-03","165,258","불검출","불검출","적합"
"5","냉동꽁치","대만","2017-01-03","117,952","불검출","불검출","적합"
"6","냉동꽁치","대만","2017-01-03","117,412.2","불검출","불검출","적합"
"7","냉동꽁치","대만","2017-01-03","142,170","불검출","불검출","적합"
"8","냉동꽁치","대만","2017-01-03","24,124","불검출","불검출","적합"
"9","냉동꽁치","대만","2017-01-03","16,243","불검출","불검출","적합"
"10","냉동꽁치","대만","2017-01-03","49,956","불검출","불검출","적합"
"11","냉동꽁치","대만","2017-01-03","92,745","불검출","불검출","적합"
"12","냉동명태(F)","러시아","2017-01-03","14,400","불검출","불검출","적합"
"13","냉동꽁치","대만","2017-01-03","19,009","불검출","불검출","적합"
"14","냉동명태(F)","러시아","2017-01-03","16,850","불검출","불검출","적합"
"15","냉동대구(F)","러시아","2017-01-03","6,000","불검출","불검출","적합"
"16","냉동명태(F)","러시아","2017-01-03","7,218","불검출","불검출","적합"
"17","냉동명태(F)","러시아","2017-01-03","14,400","불검출","불검출","적합"
