"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","56,593","-","-","-"
"1","활방어","에히메현","2017-01-02","15,463","불검출","불검출","적합"
"2","냉장방어(잿방어)","후쿠오카현","2017-01-02","7","불검출","불검출","적합"
"3","냉장명태","홋카이도","2017-01-02","1,950","불검출","불검출","적합"
"4","냉장갈치","후쿠오카현","2017-01-02","1,240","불검출","불검출","적합"
"5","냉장명태","홋카이도","2017-01-02","3,672","불검출","불검출","적합"
"6","냉장홍어","홋카이도","2017-01-02","1,942","불검출","불검출","적합"
"7","냉장명태","홋카이도","2017-01-02","6,513","불검출","불검출","적합"
"8","냉장명태","홋카이도","2017-01-02","5,278","불검출","불검출","적합"
"9","냉장명태","홋카이도","2017-01-02","10,100","불검출","불검출","적합"
"10","냉장명태","홋카이도","2017-01-02","1,800","불검출","불검출","적합"
"11","활꼬막","후쿠오카현","2017-01-02","780","불검출","불검출","적합"
"12","냉동큰실말","오키나와현","2017-01-02","180","불검출","불검출","적합"
"13","활우렁쉥이","홋카이도","2017-01-02","4,016","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2017-01-02","3,652","불검출","불검출","적합"
