"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 145건","","","","609,290","","",""
"1","당류가공품","기후현","2018-11-08","70","불검출","불검출","적합"
"2","음료베이스","기후현","2018-11-12","40","불검출","불검출","적합"
"3","음료베이스","기후현","2018-11-30","40","불검출","불검출","적합"
"4","맥주","후쿠오카현","2018-11-12","376,334","불검출","불검출","적합"
"5","캔디류","효고현","2018-11-08","49","불검출","불검출","적합"
"6","어묵","야마구치현","2018-11-13","2,000","불검출","불검출","적합"
"7","소스","후쿠오카현","2018-12-05","7,632","불검출","불검출","적합"
"8","곡류가공품","후쿠오카현","2018-12-07","4,470","불검출","불검출","적합"
"9","혼합장","나가노현","2018-12-03","6,000","불검출","불검출","적합"
"10","떡류","니가타현","2018-11-28","72","불검출","불검출","적합"
"11","캔디류","효고현","2018-11-13","130","불검출","불검출","적합"
"12","캔디류","아이치현","2018-12-17","396","불검출","불검출","적합"
"13","음료베이스","기후현","2018-11-08","26","불검출","불검출","적합"
"14","캔디류","아이치현","2018-12-17","594","불검출","불검출","적합"
