"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","56,158","-","-","-"
"1","활돔(참돔)","에히메현","2016-06-17","10,051","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-06-17","5,214","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-06-17","16,699","불검출","불검출","적합"
"4","활돔(참돔)","에히메현","2016-06-17","2,920","불검출","불검출","적합"
"5","활돔(참돔)","에히메현","2016-06-17","6,607","불검출","불검출","적합"
"6","활장어(먹장어)","후쿠오카현","2016-06-17","2,468","불검출","불검출","적합"
"7","냉장갈치","오이타현","2016-06-17","760","불검출","불검출","적합"
"8","냉장갈치","히로시마현","2016-06-17","80","불검출","불검출","적합"
"9","냉장갈치","에히메현","2016-06-17","430","불검출","불검출","적합"
"10","냉장갈치","오이타현","2016-06-17","700","불검출","불검출","적합"
"11","활장어(먹장어)","야마구치현","2016-06-17","3,276","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-06-17","6,953","불검출","불검출","적합"
